lookback,threshold,walk_forward_sharpe,n_oos_days,n_trades,pct_days_in_market,hit_rate,cumulative_return,annualized_return,annualized_vol,max_drawdown,oos_start,oos_end
20,0.02,0.3791315413067188,3052,2541,0.8325688073394495,0.50452577725305,1.3930440707095926,0.14904995296560392,0.3931351964331081,-0.6830369980599056,2006-10-02,2018-11-13
60,0.005,0.2510141910354987,2989,2890,0.9668785547005687,0.5038062283737024,0.22379692031068577,0.10614761219315785,0.4228749448597763,-0.6932965188460355,2007-01-03,2018-11-13
60,0.02,0.23164884240214106,2989,2642,0.8839076614252258,0.5022710068130204,0.14428844914771144,0.09480700757229674,0.4092703705711265,-0.6669366266381558,2007-01-03,2018-11-13
60,0.015,0.19997791353671468,2989,2729,0.9130143860823018,0.5031146940271162,-0.028506686279012095,0.0826256300130988,0.4131737778028636,-0.7543873609360447,2007-01-03,2018-11-13
60,0.01,0.19686847220789028,2989,2802,0.9374372699899632,0.5032119914346895,-0.05542809829106199,0.08230099082952895,0.4180506401381542,-0.7156195210552132,2007-01-03,2018-11-13
20,0.015,0.17840210658662103,3052,2651,0.8686107470511141,0.5005658242172765,-0.0902470615048484,0.07084937294470846,0.397133051286636,-0.7525042072297486,2006-10-02,2018-11-13
20,0.01,0.12411517027698397,3052,2786,0.9128440366972477,0.5014357501794687,-0.3344537593634731,0.05089787172802751,0.41008582282440015,-0.8257345939739102,2006-10-02,2018-11-13
5,0.015,0.04701482625383914,3052,2262,0.7411533420707732,0.5181255526083113,-0.48377798977670305,0.017924122754640573,0.3812440496507615,-0.7875258898187942,2006-10-02,2018-11-13
10,0.015,-0.0009297046975467043,3052,2485,0.8142201834862385,0.5058350100603621,-0.617527826804404,-0.00037064330028356026,0.3986677718867187,-0.7953522475237829,2006-10-02,2018-11-13
5,0.01,-0.0011730414492958391,3052,2535,0.830602883355177,0.5140039447731756,-0.620488478372772,-0.00046819708256518554,0.399130894177898,-0.8588401670658121,2006-10-02,2018-11-13
10,0.02,-0.04508687744209065,3052,2327,0.7624508519003932,0.5053717232488182,-0.6770256725789194,-0.017597043979159635,0.3902919203433679,-0.818726810508399,2006-10-02,2018-11-13
5,0.02,-0.0774024679575347,3052,2009,0.658256880733945,0.5121951219512195,-0.6831438913968215,-0.028273821819550852,0.36528320821840865,-0.8087218145614903,2006-10-02,2018-11-13
5,0.005,-0.07945490554359387,3052,2801,0.9177588466579292,0.5126740449839343,-0.76007498002699,-0.032774996179999405,0.41249808247543657,-0.8447296746625956,2006-10-02,2018-11-13
20,0.005,-0.12686338484656126,3052,2915,0.9551114023591087,0.5022298456260721,-0.8165484517976346,-0.05281035758621991,0.41627738098028044,-0.9018322283482386,2006-10-02,2018-11-13
10,0.005,-0.14721219324455403,3052,2846,0.9325032765399738,0.49754040758959944,-0.8328928819084233,-0.0613382077100586,0.41666526636255896,-0.8520963354328719,2006-10-02,2018-11-13
10,0.01,-0.24511684285077048,3052,2647,0.867300131061599,0.49754438987533056,-0.8903493153148966,-0.09985617203550125,0.4073819280394969,-0.926310589308866,2006-10-02,2018-11-13
