rank,lookback,threshold,walk_forward_sharpe,backtest_cagr,backtest_sharpe,max_drawdown,trades_per_month,n_trades,total_return,gross_pnl_at_quoted_prices,total_slippage_cost,total_commission_paid,net_pnl_after_costs,profitable_after_costs,win_rate,turnover_annualized_ratio,account_size,commission_per_share,slippage_bps,exit_rule,direction
1,20,0.02,0.3791315413067188,0.004387502483263139,0.1573321425311427,-0.6945085263962669,9.165562913907285,1384,0.05617764614268794,233606.72270000004,168683.0280857316,59305.93000000001,5617.764614268432,True,0.4884393063583815,220.5698434010062,100000.0,0.005,5.0,"exit_after_n_days(0) [1-day hold, timing_spec default]",reversal (fixed)
2,60,0.005,0.2510141910354987,-0.18212338104199388,-0.5557311564861415,-0.9401786744689236,10.092715231788079,1524,-0.9187277925124427,-21085.10530000007,53945.263533644145,16836.03,-91866.39883364421,False,0.47506561679790027,236.0413607654354,100000.0,0.005,5.0,"exit_after_n_days(0) [1-day hold, timing_spec default]",reversal (fixed)
3,60,0.02,0.231648842402141,-0.08026951042007113,-0.12921008543989548,-0.7655082932204729,9.397350993377483,1419,-0.6481829037618788,85976.9270000002,112115.41737618773,38679.8,-64818.29037618753,False,0.48273431994362226,226.5350988168424,100000.0,0.005,5.0,"exit_after_n_days(0) [1-day hold, timing_spec default]",reversal (fixed)
4,60,0.015,0.1999779135367146,-0.16379237148545678,-0.48512077030429357,-0.913064112098548,9.649006622516556,1457,-0.8928177278734367,-12266.501899999785,58279.03088734367,18736.24,-89281.77278734346,False,0.47632120796156485,227.21811829348954,100000.0,0.005,5.0,"exit_after_n_days(0) [1-day hold, timing_spec default]",reversal (fixed)
5,60,0.01,0.1968684722078902,-0.15525900923297653,-0.4445791390794077,-0.9158767724232615,9.874172185430464,1491,-0.878332917044431,-5008.003899999931,62935.36780444312,19889.920000000002,-87833.29170444305,False,0.47350771294433264,233.04490505852763,100000.0,0.005,5.0,"exit_after_n_days(0) [1-day hold, timing_spec default]",reversal (fixed)
