exit_rule,lookback,threshold,ticker,account_size,position_fraction,commission_bps,slippage_bps,commission_fixed,allow_fractional_shares,direction_sign,start_equity,end_equity,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,n_trades,n_open_at_end,trades_per_month,turnover_total_dollars,turnover_annualized_ratio,total_commission_paid,total_slippage_cost,win_rate
1-day hold (timing_spec default),20,0.02,GDX,100000.0,1.0,10.0,5.0,0.0,False,-1,100000.0,11209.153258140252,-0.8879084674185975,-0.13449078433741019,0.2868121174063514,-0.46891597730811885,-0.9004019199687514,1384,0,9.165562913907285,131983523.89716682,221.0917164305603,131983.5238971668,65991.78924469283,0.46170520231213874
5-day hold,20,0.02,GDX,100000.0,1.0,10.0,5.0,0.0,False,-1,100000.0,21185.428847654588,-0.7881457115234541,-0.05163924315665614,0.3827367479145934,-0.13492104805201327,-0.9052290278365509,491,1,3.251655629139073,68556968.09719905,78.36377402638152,68535.76282005914,34267.887415246165,0.48268839103869654
20-day hold,20,0.02,GDX,100000.0,1.0,10.0,5.0,0.0,False,-1,100000.0,71678.3198859748,-0.28321680114025205,0.05928478408129888,0.41558708961243734,0.14265309381142202,-0.6893737366950692,145,1,0.9602649006622517,32537667.133977354,23.419397351696198,32465.811339047752,16232.91080964818,0.47586206896551725
exit on signal change,20,0.02,GDX,100000.0,1.0,10.0,5.0,0.0,False,-1,100000.0,141204.43640238696,0.41204436402386957,0.11095010095678033,0.4093594142222624,0.27103346619638213,-0.7150434983951313,279,1,1.8476821192052981,98557766.64606835,44.01807141208546,98419.9616955271,49210.02721029474,0.5663082437275986
stop 3% / take 5%,20,0.02,GDX,100000.0,1.0,10.0,5.0,0.0,False,-1,100000.0,65084.932839471265,-0.34915067160528734,0.03269567974493676,0.3668234206986712,0.0891319307874695,-0.8564001984680208,387,1,2.562913907284768,75203465.38228275,63.384504599796045,75138.29111183295,37569.16502844588,0.4728682170542636
