account_size,lookback,threshold,ticker,position_fraction,commission_bps,slippage_bps,commission_fixed,allow_fractional_shares,direction_sign,start_equity,end_equity,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,n_trades,n_open_at_end,trades_per_month,turnover_total_dollars,turnover_annualized_ratio,total_commission_paid,total_slippage_cost,win_rate
1000,20,0.02,GDX,1.0,10.0,5.0,0.0,False,-1,1000.0,120.59911703927048,-0.8794008829607295,-0.1312707642098077,0.2773572222589098,-0.4732913141424093,-0.8916675755058457,1384,0,9.165562913907285,1294852.6781608001,214.63661651526954,1294.8526781607998,647.4266047999297,0.46170520231213874
10000,20,0.02,GDX,1.0,10.0,5.0,0.0,False,-1,10000.0,1131.5420331803195,-0.8868457966819681,-0.1340144229176105,0.28582582582716387,-0.46886743886694054,-0.8993984968636504,1384,0,9.165562913907285,13181742.9605204,220.45133180651965,13181.742960520402,6590.874206299284,0.46170520231213874
100000,20,0.02,GDX,1.0,10.0,5.0,0.0,False,-1,100000.0,11209.153258140252,-0.8879084674185975,-0.13449078433741019,0.2868121174063514,-0.46891597730811885,-0.9004019199687514,1384,0,9.165562913907285,131983523.89716682,221.0917164305603,131983.5238971668,65991.78924469283,0.46170520231213874
1000000,20,0.02,GDX,1.0,10.0,5.0,0.0,False,-1,1000000.0,111966.80061692726,-0.8880331993830728,-0.13455223656971324,0.2869098801373624,-0.46897038368038896,-0.9005164929373042,1384,0,9.165562913907285,1319924026.813243,221.15470913115286,1319924.026813243,659962.2863698283,0.46170520231213874
