lookback_perturbation,threshold_perturbation,lookback,threshold,cagr,sharpe,max_drawdown,trades_per_month,n_trades,total_return,cagr_degradation_pp,sharpe_degradation
-20%,-20%,16,0.016,-0.09560531075753209,-0.2128825150022729,-0.8543222172595923,9.403973509933774,1420,-0.7148015587498499,-9.999281324079522,-0.3702146575334156
-20%,baseline,16,0.02,-0.08974901840669369,-0.20009311628419318,-0.8216796695490429,9.006622516556291,1360,-0.6908684124578606,-9.413652088995683,-0.3574252588153359
-20%,+20%,16,0.024,-0.03359673488592696,0.01848495717699922,-0.790267013341713,8.708609271523178,1315,-0.3473077974572828,-3.79842373691901,-0.13884718535414348
baseline,-20%,20,0.016,0.013363368629227379,0.18914028761144888,-0.7141968058245451,9.403973509933774,1420,0.1802560325432465,0.897586614596424,0.03180814508030619
baseline,baseline,20,0.02,0.004387502483263139,0.1573321425311427,-0.6945085263962669,9.165562913907285,1384,0.05617764614268794,0.0,0.0
baseline,+20%,20,0.024,-0.015527244915320315,0.08507454807563325,-0.6878188338603957,8.887417218543046,1342,-0.17747153369283153,-1.9914747398583454,-0.07225759445550944
+20%,-20%,24,0.016,-0.09227981519435935,-0.18137537739600348,-0.8067861008298494,9.456953642384105,1428,-0.7014291066598659,-9.666731767762249,-0.3387075199271462
+20%,baseline,24,0.02,-0.06358069389259924,-0.06883549934047636,-0.7014826456129856,9.198675496688741,1389,-0.5596288544128709,-6.796819637586237,-0.22616764187161906
+20%,+20%,24,0.024,-0.07662954453874204,-0.12011472268989412,-0.7581868273991133,8.900662251655628,1344,-0.6303991967643563,-8.101704702200518,-0.2774468652210368
