subperiod,start_date,end_date,n_days,start_equity,end_equity,cagr,sharpe,max_drawdown,n_trades,trades_per_month,profitable,trades_per_month_gte_1
1,2006-05-22,2009-07-07,787,100000.0,130412.11850900343,0.08863566442601978,0.41288764257889216,-0.3367218557360059,351,9.0,True,True
2,2009-07-08,2012-08-17,787,130325.49180100345,124623.46840001112,-0.014281383813168236,0.051632407215653695,-0.4796428281064554,344,9.052631578947368,False,True
3,2012-08-20,2015-10-05,786,124545.54486351115,107945.55986366514,-0.04475795530459914,-0.011322543774788765,-0.4840333875735505,358,9.179487179487179,False,True
4,2015-10-06,2018-11-15,786,103991.77272216513,105617.7646142688,0.005000824296239381,0.13877875970862893,-0.21313992011943583,331,8.710526315789474,True,True
