cost_scenario,commission_per_share,slippage_bps,cagr,sharpe,max_drawdown,trades_per_month,n_trades,total_return
1x (baseline),0.005,5.0,0.004387502483263139,0.1573321425311427,-0.6945085263962669,9.165562913907285,1384,0.05617764614268794
2x,0.01,10.0,-0.13819305765756218,-0.3764301444834484,-0.8819216631849492,9.165562913907285,1384,-0.8438221046879151
